temp,vAGW#63,vAGW63-1,DUNSAN_NEW,7,EG,3,EG-3,,60.50.65.11
temp,vAGW#63,vAGW63-2,DUNSAN_NEW,7,EG,3,EG-3,,60.50.65.12
temp,vAGW#63,vAGW63-3,DUNSAN_NEW,7,EG,3,EG-3,,60.50.65.13
temp,vAGW#63,vAGW63-4,DUNSAN_NEW,7,EG,3,EG-3,,60.50.65.14
temp,vAGW#63,vAGW63-5,DUNSAN_NEW,7,EG,3,EG-3,,60.50.65.15
temp,vAGW#63,vAGW63-6,DUNSAN_NEW,7,EG,3,EG-3,,60.50.65.16
temp,vAGW#63,vAGW63-7,DUNSAN_NEW,7,EG,3,EG-3,,60.50.65.17
temp,vAGW#63,vAGW63-8,DUNSAN_NEW,7,EG,3,EG-3,,60.50.65.18
temp,vAGW#73,vAGW73-1,DUNSAN_NEW,7,EG,3,EG-3,,60.50.64.31
temp,vAGW#73,vAGW73-2,DUNSAN_NEW,7,EG,3,EG-3,,60.50.64.32
temp,vAGW#73,vAGW73-3,DUNSAN_NEW,7,EG,3,EG-3,,60.50.64.33
temp,vAGW#73,vAGW73-4,DUNSAN_NEW,7,EG,3,EG-3,,60.50.64.34
temp,vAGW#73,vAGW73-5,DUNSAN_NEW,7,EG,3,EG-3,,60.50.64.35
temp,vAGW#73,vAGW73-6,DUNSAN_NEW,7,EG,3,EG-3,,60.50.64.36
temp,vAGW#73,vAGW73-7,DUNSAN_NEW,7,EG,3,EG-3,,60.50.64.37
temp,vAGW#73,vAGW73-8,DUNSAN_NEW,7,EG,3,EG-3,,60.50.64.38
temp,VAGW52,VAGW52-01,DUNSAN_NEW,7,EG,4,EG-4,,1.1.1.2
temp,VAGW52,VAGW52-02,DUNSAN_NEW,7,EG,4,EG-4,,1.1.1.3
temp,VAGW52,VAGW52-03,DUNSAN_NEW,7,EG,4,EG-4,,1.1.1.4
temp,VAGW52,VAGW52-04,DUNSAN_NEW,7,EG,4,EG-4,,1.1.1.5
temp,VAGW52,VAGW52-05,DUNSAN_NEW,7,EG,4,EG-4,,1.1.1.6
temp,VAGW52,VAGW52-06,DUNSAN_NEW,7,EG,4,EG-4,,1.1.1.7
temp,VAGW52,VAGW52-07,DUNSAN_NEW,7,EG,4,EG-4,,1.1.1.8
temp,SSCMS#02_OSC,SSCMS-OSC-1,DUNSAN_NEW,7,EG,5,EG-5,11,60.50.51.71
temp,SSCMS#02_VNFM,SSCMS-VNFM-1,DUNSAN_NEW,7,EG,5,EG-5,15,60.50.51.75
temp,SSCMS#02_VIM,SSCMS-VIM-1,DUNSAN_NEW,7,EG,5,EG-5,19,60.50.51.73
temp,IMC,temp1,DUNSAN_NEW,7,EG,5,EG-5,23,1.1.1.9
temp,OSC#1(ACT),temp2,DUNSAN_NEW,7,EG,5,EG-5,27,1.1.1.10
temp,VIM#1(ACT),temp3,DUNSAN_NEW,7,EG,5,EG-5,31,1.1.1.11
